mach,rollRate,rollForceCoeffCanard,rollForceCoeffFin,rollDampCoeffCanard,rollDampCoeffFin
0.0500,2.5900,0.1356,0.7302,0.1634,1.4533
0.0500,2.6000,0.1356,0.7302,0.1641,1.4589
0.0500,2.6100,0.1356,0.7302,0.1647,1.4645
0.0500,2.6200,0.1356,0.7302,0.1653,1.4701
0.0500,2.6300,0.1356,0.7302,0.1660,1.4758
0.0500,2.6400,0.1356,0.7302,0.1666,1.4814
0.0500,2.6500,0.1356,0.7302,0.1672,1.4870
0.0500,2.6600,0.1356,0.7302,0.1678,1.4926
0.0500,2.6700,0.1356,0.7302,0.1685,1.4982
0.0500,2.6800,0.1356,0.7302,0.1691,1.5038
0.0500,2.6900,0.1356,0.7302,0.1697,1.5094
0.0500,2.7000,0.1356,0.7302,0.1704,1.5150
0.0500,2.7100,0.1356,0.7302,0.1710,1.5206
0.0500,2.7200,0.1356,0.7302,0.1716,1.5263
0.0500,2.7300,0.1356,0.7302,0.1723,1.5319
0.0500,2.7400,0.1356,0.7302,0.1729,1.5375
0.0500,2.7500,0.1356,0.7302,0.1735,1.5431
0.0500,2.7600,0.1356,0.7302,0.1742,1.5487
0.0500,2.7700,0.1356,0.7302,0.1748,1.5543
0.0500,2.7800,0.1356,0.7302,0.1754,1.5599
0.0500,2.7900,0.1356,0.7302,0.1760,1.5655
0.0500,2.8000,0.1356,0.7302,0.1767,1.5711
0.0500,2.8100,0.1356,0.7302,0.1773,1.5768
0.0500,2.8200,0.1356,0.7302,0.1779,1.5824
0.0500,2.8300,0.1356,0.7302,0.1786,1.5880
0.0500,2.8400,0.1356,0.7302,0.1792,1.5936
0.0500,2.8500,0.1356,0.7302,0.1798,1.5992
0.0500,2.8600,0.1356,0.7302,0.1805,1.6048
0.0500,2.8700,0.1356,0.7302,0.1811,1.6104
0.0500,2.8800,0.1356,0.7302,0.1817,1.6160
0.0500,2.8900,0.1356,0.7302,0.1824,1.6216
0.0500,2.9000,0.1356,0.7302,0.1830,1.6273
0.0500,2.9100,0.1356,0.7302,0.1836,1.6329
0.0500,2.9200,0.1356,0.7302,0.1843,1.6385
0.0500,2.9300,0.1356,0.7302,0.1849,1.6441
0.0500,2.9400,0.1356,0.7302,0.1855,1.6497
0.0500,2.9500,0.1356,0.7302,0.1861,1.6553
0.0500,2.9600,0.1356,0.7302,0.1868,1.6609
0.0500,2.9700,0.1356,0.7302,0.1874,1.6665
0.0500,2.9800,0.1356,0.7302,0.1880,1.6721
0.0500,2.9900,0.1356,0.7302,0.1887,1.6778
0.0500,3.0000,0.1356,0.7302,0.1893,1.6834
0.0500,3.0100,0.1356,0.7302,0.1899,1.6890
0.0500,3.0200,0.1356,0.7302,0.1906,1.6946
0.0500,3.0300,0.1356,0.7302,0.1912,1.7002
0.0500,3.0400,0.1356,0.7302,0.1918,1.7058
0.0500,3.0500,0.1356,0.7302,0.1925,1.7114
0.0500,3.0600,0.1356,0.7302,0.1931,1.7170
0.0500,3.0700,0.1356,0.7302,0.1937,1.7226
0.0500,3.0800,0.1356,0.7302,0.1943,1.7283
0.0500,3.0900,0.1356,0.7302,0.1950,1.7339
0.0500,3.1000,0.1356,0.7302,0.1956,1.7395
0.0500,3.1100,0.1356,0.7302,0.1962,1.7451
0.0500,3.1200,0.1356,0.7302,0.1969,1.7507
0.0500,3.1300,0.1356,0.7302,0.1975,1.7563
0.0500,3.1400,0.1356,0.7302,0.1981,1.7619
0.0500,3.1500,0.1356,0.7302,0.1988,1.7675
0.0500,3.1600,0.1356,0.7302,0.1994,1.7731
0.0500,3.1700,0.1356,0.7302,0.2000,1.7788
0.0500,3.1800,0.1356,0.7302,0.2007,1.7844
0.0500,3.1900,0.1356,0.7302,0.2013,1.7900
0.0500,3.2000,0.1356,0.7302,0.2019,1.7956
0.0500,3.2100,0.1356,0.7302,0.2026,1.8012
0.0500,3.2200,0.1356,0.7302,0.2032,1.8068
0.0500,3.2300,0.1356,0.7302,0.2038,1.8124
0.0500,3.2400,0.1356,0.7302,0.2044,1.8180
0.0500,3.2500,0.1356,0.7302,0.2051,1.8236
0.0500,3.2600,0.1356,0.7302,0.2057,1.8293
0.0500,3.2700,0.1356,0.7302,0.2063,1.8349
0.0500,3.2800,0.1356,0.7302,0.2070,1.8405
0.0500,3.2900,0.1356,0.7302,0.2076,1.8461
0.0500,3.3000,0.1356,0.7302,0.2082,1.8517
0.0500,3.3100,0.1356,0.7302,0.2089,1.8573
0.0500,3.3200,0.1356,0.7302,0.2095,1.8629
0.0500,3.3300,0.1356,0.7302,0.2101,1.8685
0.0500,3.3400,0.1356,0.7302,0.2108,1.8741
0.0500,3.3500,0.1356,0.7302,0.2114,1.8798
0.0500,3.3600,0.1356,0.7302,0.2120,1.8854
0.0500,3.3700,0.1356,0.7302,0.2126,1.8910
0.0500,3.3800,0.1356,0.7302,0.2133,1.8966
0.0500,3.3900,0.1356,0.7302,0.2139,1.9022
0.0500,3.4000,0.1356,0.7302,0.2145,1.9078
0.0500,3.4100,0.1356,0.7302,0.2152,1.9134
0.0500,3.4200,0.1356,0.7302,0.2158,1.9190
0.0500,3.4300,0.1356,0.7302,0.2164,1.9246
0.0500,3.4400,0.1356,0.7302,0.2171,1.9303
0.0500,3.4500,0.1356,0.7302,0.2177,1.9359
0.0500,3.4600,0.1356,0.7302,0.2183,1.9415
0.0500,3.4700,0.1356,0.7302,0.2190,1.9471
0.0500,3.4800,0.1356,0.7302,0.2196,1.9527
0.0500,3.4900,0.1356,0.7302,0.2202,1.9583
0.0500,3.5000,0.1356,0.7302,0.2209,1.9639
0.0500,3.5100,0.1356,0.7302,0.2215,1.9695
0.0500,3.5200,0.1356,0.7302,0.2221,1.9752
0.0500,3.5300,0.1356,0.7302,0.2227,1.9808
0.0500,3.5400,0.1356,0.7302,0.2234,1.9864
0.0500,3.5500,0.1356,0.7302,0.2240,1.9920
0.0500,3.5600,0.1356,0.7302,0.2246,1.9976
0.0500,3.5700,0.1356,0.7302,0.2253,2.0032
0.0500,3.5800,0.1356,0.7302,0.2259,2.0088
0.0500,3.5900,0.1356,0.7302,0.2265,2.0144
0.0500,3.6000,0.1356,0.7302,0.2272,2.0200
0.0500,3.6100,0.1356,0.7302,0.2278,2.0257
0.0500,3.6200,0.1356,0.7302,0.2284,2.0313
0.0500,3.6300,0.1356,0.7302,0.2291,2.0369
0.0500,3.6400,0.1356,0.7302,0.2297,2.0425
0.0500,3.6500,0.1356,0.7302,0.2303,2.0481
0.0500,3.6600,0.1356,0.7302,0.2309,2.0537
0.0500,3.6700,0.1356,0.7302,0.2316,2.0593
0.0500,3.6800,0.1356,0.7302,0.2322,2.0649
0.0500,3.6900,0.1356,0.7302,0.2328,2.0705
0.0500,3.7000,0.1356,0.7302,0.2335,2.0762
0.0500,3.7100,0.1356,0.7302,0.2341,2.0818
0.0500,3.7200,0.1356,0.7302,0.2347,2.0874
0.0500,3.7300,0.1356,0.7302,0.2354,2.0930
0.0500,3.7400,0.1356,0.7302,0.2360,2.0986
0.0500,3.7500,0.1356,0.7302,0.2366,2.1042
0.0500,3.7600,0.1356,0.7302,0.2373,2.1098
0.0500,3.7700,0.1356,0.7302,0.2379,2.1154
0.0500,3.7800,0.1356,0.7302,0.2385,2.1210
0.0500,3.7900,0.1356,0.7302,0.2391,2.1267
0.0500,3.8000,0.1356,0.7302,0.2398,2.1323
0.0500,3.8100,0.1356,0.7302,0.2404,2.1379
0.0500,3.8200,0.1356,0.7302,0.2410,2.1435
0.0500,3.8300,0.1356,0.7302,0.2417,2.1491
0.0500,3.8400,0.1356,0.7302,0.2423,2.1547
0.0500,3.8500,0.1356,0.7302,0.2429,2.1603
0.0500,3.8600,0.1356,0.7302,0.2436,2.1659
0.0500,3.8700,0.1356,0.7302,0.2442,2.1715
0.0500,3.8800,0.1356,0.7302,0.2448,2.1772
0.0500,3.8900,0.1356,0.7302,0.2455,2.1828
0.0500,3.9000,0.1356,0.7302,0.2461,2.1884
0.0500,3.9100,0.1356,0.7302,0.2467,2.1940
0.0500,3.9200,0.1356,0.7302,0.2474,2.1996
0.0500,3.9300,0.1356,0.7302,0.2480,2.2052
0.0500,3.9400,0.1356,0.7302,0.2486,2.2108
0.0500,3.9500,0.1356,0.7302,0.2492,2.2164
0.0500,3.9600,0.1356,0.7302,0.2499,2.2220
0.0500,3.9700,0.1356,0.7302,0.2505,2.2277
0.0500,3.9800,0.1356,0.7302,0.2511,2.2333
0.0500,3.9900,0.1356,0.7302,0.2518,2.2389
0.0500,4.0000,0.1356,0.7302,0.2524,2.2445
0.0500,4.0100,0.1356,0.7302,0.2530,2.2501
0.0500,4.0200,0.1356,0.7302,0.2537,2.2557
0.0500,4.0300,0.1356,0.7302,0.2543,2.2613
0.0500,4.0400,0.1356,0.7302,0.2549,2.2669
0.0500,4.0500,0.1356,0.7302,0.2556,2.2725
0.0500,4.0600,0.1356,0.7302,0.2562,2.2782
0.0500,4.0700,0.1356,0.7302,0.2568,2.2838
0.0500,4.0800,0.1356,0.7302,0.2574,2.2894
0.0500,4.0900,0.1356,0.7302,0.2581,2.2950
0.0500,4.1000,0.1356,0.7302,0.2587,2.3006
0.0500,4.1100,0.1356,0.7302,0.2593,2.3062
0.0500,4.1200,0.1356,0.7302,0.2600,2.3118
0.0500,4.1300,0.1356,0.7302,0.2606,2.3174
0.0500,4.1400,0.1356,0.7302,0.2612,2.3230
0.0500,4.1500,0.1356,0.7302,0.2619,2.3287
0.0500,4.1600,0.1356,0.7302,0.2625,2.3343
0.0500,4.1700,0.1356,0.7302,0.2631,2.3399
0.0500,4.1800,0.1356,0.7302,0.2638,2.3455
0.0500,4.1900,0.1356,0.7302,0.2644,2.3511
0.0500,4.2000,0.1356,0.7302,0.2650,2.3567
0.0500,4.2100,0.1356,0.7302,0.2657,2.3623
0.0500,4.2200,0.1356,0.7302,0.2663,2.3679
0.0500,4.2300,0.1356,0.7302,0.2669,2.3735
0.0500,4.2400,0.1356,0.7302,0.2675,2.3792
0.0500,4.2500,0.1356,0.7302,0.2682,2.3848
0.0500,4.2600,0.1356,0.7302,0.2688,2.3904
0.0500,4.2700,0.1356,0.7302,0.2694,2.3960
0.0500,4.2800,0.1356,0.7302,0.2701,2.4016
0.0500,4.2900,0.1356,0.7302,0.2707,2.4072
0.0500,4.3000,0.1356,0.7302,0.2713,2.4128
0.0500,4.3100,0.1356,0.7302,0.2720,2.4184
0.0500,4.3200,0.1356,0.7302,0.2726,2.4240
0.0500,4.3300,0.1356,0.7302,0.2732,2.4297
0.0500,4.3400,0.1356,0.7302,0.2739,2.4353
0.0500,4.3500,0.1356,0.7302,0.2745,2.4409
0.0500,4.3600,0.1356,0.7302,0.2751,2.4465
0.0500,4.3700,0.1356,0.7302,0.2757,2.4521
0.0500,4.3800,0.1356,0.7302,0.2764,2.4577
0.0500,4.3900,0.1356,0.7302,0.2770,2.4633
0.0500,4.4000,0.1356,0.7302,0.2776,2.4689
0.0500,4.4100,0.1356,0.7302,0.2783,2.4745
0.0500,4.4200,0.1356,0.7302,0.2789,2.4802
0.0500,4.4300,0.1356,0.7302,0.2795,2.4858
0.0500,4.4400,0.1356,0.7302,0.2802,2.4914
0.0500,4.4500,0.1356,0.7302,0.2808,2.4970
0.0500,4.4600,0.1356,0.7302,0.2814,2.5026
0.0500,4.4700,0.1356,0.7302,0.2821,2.5082
0.0500,4.4800,0.1356,0.7302,0.2827,2.5138
0.0500,4.4900,0.1356,0.7302,0.2833,2.5194
0.0500,4.5000,0.1356,0.7302,0.2840,2.5251
0.0500,4.5100,0.1356,0.7302,0.2846,2.5307
0.0500,4.5200,0.1356,0.7302,0.2852,2.5363
0.0500,4.5300,0.1356,0.7302,0.2858,2.5419
0.0500,4.5400,0.1356,0.7302,0.2865,2.5475
0.0500,4.5500,0.1356,0.7302,0.2871,2.5531
0.0500,4.5600,0.1356,0.7302,0.2877,2.5587
0.0500,4.5700,0.1356,0.7302,0.2884,2.5643
0.0500,4.5800,0.1356,0.7302,0.2890,2.5699
0.0500,4.5900,0.1356,0.7302,0.2896,2.5756
0.0500,4.6000,0.1356,0.7302,0.2903,2.5812
0.0500,4.6100,0.1356,0.7302,0.2909,2.5868
0.0500,4.6200,0.1356,0.7302,0.2915,2.5924
0.0500,4.6300,0.1356,0.7302,0.2922,2.5980
0.0500,4.6400,0.1356,0.7302,0.2928,2.6036
0.0500,4.6500,0.1356,0.7302,0.2934,2.6092
0.0500,4.6600,0.1356,0.7302,0.2940,2.6148
0.0500,4.6700,0.1356,0.7302,0.2947,2.6204
0.0500,4.6800,0.1356,0.7302,0.2953,2.6261
0.0500,4.6900,0.1356,0.7302,0.2959,2.6317
0.0500,4.7000,0.1356,0.7302,0.2966,2.6373
0.0500,4.7100,0.1356,0.7302,0.2972,2.6429
0.0500,4.7200,0.1356,0.7302,0.2978,2.6485
0.0500,4.7300,0.1356,0.7302,0.2985,2.6541
